"variable","mean","median","sd","mad","q5","q95"
"lp__",-2555.725959275,-2554.7012,3.17206855704233,2.03249633999984,-2562.0624,-2552.878585
"lp_approx__",-1.4768979032039,-1.16622635,1.19806007034778,0.991842439056,-3.86180774,-0.1767810895
"beta_0",-4.17452023705,-4.1737182,0.0497159880317849,0.0483916192200004,-4.258106585,-4.0917547
"beta_i",1.4810909979075,1.48140395,0.127646924835025,0.12594783369,1.269020215,1.69232558
"beta_w",0.162633730005518,0.1608035,0.0933863103442432,0.0936583194246,0.0105279372,0.316189652
